ชื่อร้านค้า,CodeCustomer,จำนวนทั้งหมด,ยอดบิลนี้,ค้างจ่ายเก่า,ยอดรวมเงิน,จ่ายเงินสดวันนี้,โอนจ่ายต่อหน้า,จ่ายค้าง,โอนจ่ายที่หลัง,จ่ายค้างโอนต่อหน้า,จ่ายค้างเงินสด,ค้างจ่ายวันนี้,เครดิต,ค้างจ่ายใหม่,Status,Status3,Status2,ImageSaleSite,ชื่อเรื่อง,รหัสการขาย,YMD,Minute,TimeStamp,IDcode,No,LineCar,เหลี่ยมใหญ่,กลมใหญ่,กลมเล็ก,บดหยาบ,บดละเอียด,Latitude,Longitude,ID-CodeName,สอบค้าง,เก็บสอบ,นอนสอบ,ค้างกระสอบรวม
ร้านสลัดผักผลไม้พี่แต๊ก,100260.0,3.0,105.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-06-15-45,2025-08-28,06:15:45,28/08/2025 06:15:45,111.0,,11.0,,,,3.0,,16.57849333,102.08882333,ID-1111,-2.0,,,-2.0
ร้านแม่ติ๋มลาบเป็ด,100262.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-06-18-58,2025-08-28,06:18:58,28/08/2025 06:18:58,111.0,,11.0,,,,1.0,,16.578245,102.08904333,ID-1111,0.0,,,0.0
ร้านผลไม้พี่น้ำ,100265.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-06-49-32,2025-08-28,06:49:32,28/08/2025 06:49:32,111.0,,11.0,,,,1.0,,16.57498667,102.11007667,ID-1111,0.0,,,0.0
ร้านพรทิพย์ชานมไข่มุก,102002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-06-52-47,2025-08-28,06:52:46,28/08/2025 06:52:46,111.0,,11.0,,,,,,16.574535,102.10993,ID-1111,0.0,,,0.0
ร้านราชาหมูกระทะ&หอยแครง,100266.0,3.0,100.0,100.0,200.0,200.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,รับเงินสด,0,จ่ายค้างเก่า,,อาคม,2568-08-28-111-11-07-04-23,2025-08-28,07:04:23,28/08/2025 07:04:23,111.0,,11.0,1.0,,,2.0,,16.57562667,102.11153833,ID-1111,2.0,,,2.0
ร้านดอกไม้พี่ดาว,101534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-28-111-11-07-09-46,2025-08-28,07:09:45,28/08/2025 07:09:45,111.0,,11.0,,,,,,16.571145,102.108645,ID-1111,0.0,,,0.0
ร้านก๋วยเตี๋ยวหมูแม่อ๊อด,100269.0,2.0,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-07-17-58,2025-08-28,07:17:58,28/08/2025 07:17:58,111.0,,11.0,1.0,,,1.0,,16.57028,102.11199167,ID-1111,0.0,,,0.0
ร้านชาไข่มุกบ้านสุขสมบูรณ์  ,100268.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-07-18-08,2025-08-28,07:18:08,28/08/2025 07:18:08,111.0,,11.0,,,,1.0,,16.57028,102.11199167,ID-1111,0.0,,,0.0
ร้านของชำแม่บุญนำ,100270.0,3.0,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-07-25-15,2025-08-28,07:25:15,28/08/2025 07:25:15,111.0,,11.0,3.0,,,,,16.57231667,102.118515,ID-1111,0.0,,,0.0
ร้านTPหม่าล่าพี่หนิง,100271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-07-40-44,2025-08-28,07:40:44,28/08/2025 07:40:44,111.0,,11.0,,,,,,16.56591167,102.110115,ID-1111,0.0,,,0.0
ร้านส้มตำไก่ย่างแม่ตุ่ม,100272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-28-111-11-07-44-43,2025-08-28,07:44:43,28/08/2025 07:44:43,111.0,,11.0,,,,,,16.56025333,102.11186,ID-1111,0.0,,,0.0
ร้านของชำแม่ทองมา,100277.0,1.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-08-17-52,2025-08-28,08:17:52,28/08/2025 08:17:52,111.0,,11.0,1.0,,,,,16.55474167,102.10637833,ID-1111,0.0,,,0.0
ร้านอยู่เย็นคาเฟ่​,101851.0,1.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-08-26-07,2025-08-28,08:26:08,28/08/2025 08:26:08,111.0,,11.0,,,1.0,,,16.552015,102.10829,ID-1111,0.0,,,0.0
ร้านไก่ย่างบิ๊กตู่,100278.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-08-39-53,2025-08-28,08:39:53,28/08/2025 08:39:53,111.0,,11.0,1.0,,,,,16.55013333,102.11190167,ID-1111,0.0,,,0.0
ร้านก๋วยเตี๋ยวยายพัด,100279.0,2.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-08-46-31,2025-08-28,08:46:31,28/08/2025 08:46:31,111.0,,11.0,1.0,,,1.0,,16.549575,102.11189333,ID-1111,0.0,,,0.0
ร้านถูกดี นำโชค,100280.0,2.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-08-46-39,2025-08-28,08:46:40,28/08/2025 08:46:40,111.0,,11.0,2.0,,,,,16.549575,102.11189333,ID-1111,0.0,,,0.0
ร้านของชำตาแดง,100281.0,12.0,300.0,150.0,450.0,450.0,0.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,รับเงินสด,0,จ่ายค้างเก่า,,อาคม,2568-08-28-111-11-08-56-13,2025-08-28,08:56:14,28/08/2025 08:56:14,111.0,,11.0,12.0,,,,,16.54897667,102.11181333,ID-1111,0.0,,,0.0
ร้านก๋วยจั๊บอุบลห้องแอร์,100283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-28-111-11-08-59-52,2025-08-28,08:59:52,28/08/2025 08:59:52,111.0,,11.0,,,,,,16.54604167,102.11092833,ID-1111,0.0,,,0.0
ร้านครัวข้าวหอม,101593.0,4.0,140.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-09-17-40,2025-08-28,09:17:40,28/08/2025 09:17:40,111.0,,11.0,,,,,4.0,16.54603667,102.11097667,ID-1111,0.0,,,0.0
ร้านต้มยำไข่หวาน สระบุรี,100284.0,3.0,105.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-09-28-21,2025-08-28,09:28:21,28/08/2025 09:28:21,111.0,,11.0,,,3.0,,,16.54504667,102.11039833,ID-1111,0.0,,,0.0
ร้านตำตุ๊ปุ๊,100287.0,3.0,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-09-37-27,2025-08-28,09:37:27,28/08/2025 09:37:27,111.0,,11.0,,,,3.0,,16.543,102.109405,ID-1111,0.0,,,0.0
ร้านนานาอาหารป่า,100294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-09-42-26,2025-08-28,09:42:25,28/08/2025 09:42:25,111.0,,11.0,,,,,,16.53540833,102.111225,ID-1111,0.0,,,0.0
ร้านสบายๆข้าวแกง,100293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-09-42-38,2025-08-28,09:42:38,28/08/2025 09:42:38,111.0,,11.0,,,,,,16.53527333,102.11228167,ID-1111,0.0,,,0.0
ร้านเขียงหมูเจ๊หนิง,100292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,น้ำแข็งเหลือ,,อาคม,2568-08-28-111-11-09-43-55,2025-08-28,09:43:55,28/08/2025 09:43:55,111.0,,11.0,,,,,,16.53371833,102.11501333,ID-1111,0.0,,,0.0
ร้านโดนใจ ศิริจรรยา มินิมาร์ท,100291.0,12.0,300.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-09-55-14,2025-08-28,09:55:14,28/08/2025 09:55:14,111.0,,11.0,12.0,,,,,16.53276667,102.11441667,ID-1111,0.0,,,0.0
ร้านข้าวแกงเจ๊แต๋ว,100295.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-10-00-09,2025-08-28,10:00:09,28/08/2025 10:00:09,111.0,,11.0,,,,1.0,,16.53651167,102.11290167,ID-1111,0.0,,,0.0
ร้านJJของชำ,100296.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-10-04-11,2025-08-28,10:04:10,28/08/2025 10:04:10,111.0,,11.0,1.0,,,,,16.53663833,102.11291833,ID-1111,0.0,,,0.0
ร้านตามสั่งครัวคุณยาย,100297.0,2.0,60.0,120.0,180.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,โอนจ่ายต่อหน้า,ค้างจ่าย,0,,อาคม,2568-08-28-111-11-10-08-16,2025-08-28,10:08:16,28/08/2025 10:08:16,111.0,,11.0,1.0,,1.0,,,16.53787667,102.11310833,ID-1111,0.0,,,0.0
ร้านลูกชิ้นทอดแม่สุ,100298.0,1.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-10-12-22,2025-08-28,10:12:21,28/08/2025 10:12:21,111.0,,11.0,,,,1.0,,16.537895,102.11265667,ID-1111,0.0,,,0.0
ร้านของชำแม่ทองหยาด,100299.0,1.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-10-12-30,2025-08-28,10:12:31,28/08/2025 10:12:31,111.0,,11.0,1.0,,,,,16.53786333,102.11269667,ID-1111,0.0,,,0.0
ร้านหมาล่าแลนมาค,100488.0,1.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-10-33-22,2025-08-28,10:33:22,28/08/2025 10:33:22,111.0,,11.0,,,1.0,,,16.5403,102.11385833,ID-1111,0.0,,,0.0
ร้านของชำแม่สุธิ,100301.0,3.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-10-39-21,2025-08-28,10:39:21,28/08/2025 10:39:21,111.0,,11.0,2.0,,,1.0,,16.54330167,102.11526167,ID-1111,0.0,,,0.0
ร้านลูกชิ้นพี่ตุ๊ก,101962.0,1.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-10-44-56,2025-08-28,10:44:56,28/08/2025 10:44:56,111.0,,11.0,,,,1.0,,16.54638833,102.10979,ID-1111,0.0,,,0.0
ร้านเท็นโน ชาบู,100303.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-10-50-30,2025-08-28,10:50:30,28/08/2025 10:50:30,111.0,,11.0,1.0,,,,,16.54537667,102.109015,ID-1111,0.0,,,0.0
ร้านห้องเสื้ออาภรณ์,100302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,น้ำแข็งเหลือ,,อาคม,2568-08-28-111-11-10-50-37,2025-08-28,10:50:38,28/08/2025 10:50:38,111.0,,11.0,,,,,,16.54537667,102.109015,ID-1111,0.0,,,0.0
ร้านของชำแม่น้อย,100305.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-10-57-28,2025-08-28,10:57:28,28/08/2025 10:57:28,111.0,,11.0,1.0,,,,,16.54883167,102.10882667,ID-1111,0.0,,,0.0
ร้านข้าวกล่องเจ๊นุช,100306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-10-57-35,2025-08-28,10:57:35,28/08/2025 10:57:35,111.0,,11.0,,,,,,16.54884,102.10880833,ID-1111,0.0,,,0.0
ร้านไก่สดแม่พร,100307.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-10-57-44,2025-08-28,10:57:44,28/08/2025 10:57:44,111.0,,11.0,,,,1.0,,16.548865,102.10879833,ID-1111,0.0,,,0.0
ร้านแหนมคลุกคุณยายเสถียน,100314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,น้ำแข็งเหลือ,,อาคม,2568-08-28-111-11-11-02-52,2025-08-28,11:02:52,28/08/2025 11:02:52,111.0,,11.0,,,,,,16.55055,102.10834333,ID-1111,0.0,,,0.0
ร้านเจ๊ติ่งขนมไทย,100310.0,2.0,70.0,100.0,170.0,170.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,รับเงินสด,0,จ่ายค้างเก่า,,อาคม,2568-08-28-111-11-11-21-08,2025-08-28,11:21:08,28/08/2025 11:21:08,111.0,,11.0,,,,2.0,,16.547715,102.105005,ID-1111,-4.0,,,-4.0
ร้านดอกหญ้ามินิมาร์ท,100311.0,6.0,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,0,ค้างจ่าย,0,,อาคม,2568-08-28-111-11-11-28-12,2025-08-28,11:28:12,28/08/2025 11:28:12,111.0,,11.0,6.0,,,,,16.54751667,102.10685333,ID-1111,0.0,,,0.0
ร้านถุงเงิน,100312.0,1.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-11-32-17,2025-08-28,11:32:17,28/08/2025 11:32:17,111.0,,11.0,1.0,,,,,16.54752667,102.10715833,ID-1111,0.0,,,0.0
ร้านผลไม้แม่แอ๊ด,100313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,น้ำแข็งเหลือ,,อาคม,2568-08-28-111-11-11-34-01,2025-08-28,11:34:01,28/08/2025 11:34:01,111.0,,11.0,,,,,,16.54758,102.10745833,ID-1111,0.0,,,0.0
ร้านอาหารตามสั่งแม่แสง,100315.0,2.0,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-11-36-51,2025-08-28,11:36:51,28/08/2025 11:36:51,111.0,,11.0,,,1.0,1.0,,16.54758,102.10745833,ID-1111,0.0,,,0.0
ร้านกล้วยทอดคุณยาย,100309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-28-111-11-11-37-26,2025-08-28,11:37:26,28/08/2025 11:37:26,111.0,,11.0,,,,,,16.54758,102.10745833,ID-1111,0.0,,,0.0
ร้านชำตายาย ,100273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-28-111-11-11-38-00,2025-08-28,11:38:00,28/08/2025 11:38:00,111.0,,11.0,,,,,,16.54758,102.10745833,ID-1111,0.0,,,0.0
ร้านก๋วยเตี๋ยวเรือแม่คำหยาด,102051.0,1.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-11-44-25,2025-08-28,11:44:25,28/08/2025 11:44:25,111.0,,11.0,1.0,,,,,16.552875,102.10336833,ID-1111,0.0,,,0.0
ร้านแม่อ้อก๋วยเตี๋ยวต้มยำ,100317.0,2.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,0,ค้างจ่าย,0,,อาคม,2568-08-28-111-11-11-54-36,2025-08-28,11:54:36,28/08/2025 11:54:36,111.0,,11.0,1.0,,,1.0,,16.55398667,102.09217167,ID-1111,0.0,,,0.0
ร้านไก่ทอดแม่พิน,100319.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-12-02-31,2025-08-28,12:02:31,28/08/2025 12:02:31,111.0,,11.0,1.0,,,,,16.55060333,102.09152833,ID-1111,2.0,,,2.0
ร้านของชำแม่สุภี,100321.0,1.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-12-06-07,2025-08-28,12:06:07,28/08/2025 12:06:07,111.0,,11.0,1.0,,,,,16.55024167,102.09162,ID-1111,0.0,,,0.0
ครัวยายอุ่น,100320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-12-09-41,2025-08-28,12:09:41,28/08/2025 12:09:41,111.0,,11.0,,,,,,16.54984,102.091895,ID-1111,-4.0,,,-4.0
อู่ญาเซอร์วิส,100316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-12-37-59,2025-08-28,12:38:00,28/08/2025 12:38:00,111.0,,11.0,,,,,,16.56623833,102.10586,ID-1111,0.0,,,0.0
ร้านของชำสบายดี,100263.0,3.0,100.0,100.0,200.0,200.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,รับเงินสด,0,จ่ายค้างเก่า,,อาคม,2568-08-28-111-11-12-43-32,2025-08-28,12:43:32,28/08/2025 12:43:32,111.0,,11.0,3.0,,,,,16.578295,102.10918167,ID-1111,0.0,,,0.0
ร้านของชำจินดาช็อป,100264.0,6.0,200.0,335.0,535.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,รับเงินสด,ค้างจ่าย,0,,อาคม,2568-08-28-111-11-12-48-08,2025-08-28,12:48:08,28/08/2025 12:48:08,111.0,,11.0,6.0,,,,,16.57830167,102.10983833,ID-1111,0.0,,,0.0
ร้านรุ่งเรืองการค้า,100324.0,12.0,350.0,245.0,595.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,รับเงินสด,ค้างจ่าย,0,,อาคม,2568-08-28-111-11-13-01-31,2025-08-28,13:01:31,28/08/2025 13:01:31,111.0,,11.0,11.0,,,1.0,,16.56015167,102.10397,ID-1111,0.0,,,0.0
ร้านบ้านพี่นนท์,100275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-28-111-11-13-05-32,2025-08-28,13:05:32,28/08/2025 13:05:32,111.0,,11.0,,,,,,16.55617667,102.10867167,ID-1111,0.0,,,0.0
ร้านลาบขมต้มแซ่บแม่ไล,102047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,น้ำแข็งเหลือ,,อาคม,2568-08-28-111-11-13-05-41,2025-08-28,13:05:41,28/08/2025 13:05:41,111.0,,11.0,,,,,,16.55612833,102.10865833,ID-1111,0.0,,,0.0
ร้านกาแฟ Mind Tea,100304.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-13-14-48,2025-08-28,13:14:48,28/08/2025 13:14:48,111.0,,11.0,,,1.0,,,16.548315,102.10893833,ID-1111,0.0,,,0.0
ร้านกาแฟหน้าบ้าน,100282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-13-15-39,2025-08-28,13:15:40,28/08/2025 13:15:40,111.0,,11.0,,,,,,16.54736667,102.1088,ID-1111,0.0,,,0.0
ร้านไอศครีมกะทิสด,102194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-13-15-53,2025-08-28,13:15:52,28/08/2025 13:15:52,111.0,,11.0,,,,,,16.54705167,102.10861167,ID-1111,0.0,,,0.0
ร้านข้าวมันไก่ นครปฐม,100285.0,2.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-28-111-11-13-20-10,2025-08-28,13:20:09,28/08/2025 13:20:09,111.0,,11.0,,,2.0,,,16.54335167,102.10960333,ID-1111,0.0,,,0.0
ร้านกาแฟแม่เจี๊ยบ,100288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-13-21-33,2025-08-28,13:21:33,28/08/2025 13:21:33,111.0,,11.0,,,,,,16.54275333,102.10930333,ID-1111,0.0,,,0.0
ร้านนัมเบอร์วัน บาร์,100325.0,8.0,270.0,170.0,440.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,รับเงินสด,ค้างจ่าย,0,,อาคม,2568-08-28-111-11-13-35-34,2025-08-28,13:35:35,28/08/2025 13:35:35,111.0,,11.0,6.0,,2.0,,,16.54276333,102.109285,ID-1111,0.0,,,0.0
ร้านสุขสันต์เกล็ดหิมะ,100387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-28-111-11-13-37-10,2025-08-28,13:37:10,28/08/2025 13:37:10,111.0,,11.0,,,,,,16.54274167,102.109285,ID-1111,0.0,,,0.0
ร้านต้นขนุน,101947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-13-44-09,2025-08-28,13:44:09,28/08/2025 13:44:09,111.0,,11.0,,,,,,16.54793833,102.101845,ID-1111,0.0,,,0.0
ร้านโปรด,100323.0,0.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,,,ร้านปิด,,อาคม,2568-08-28-111-11-13-48-56,2025-08-28,13:48:56,28/08/2025 13:48:56,111.0,,11.0,,,,,,16.550765,102.10093833,ID-1111,0.0,,,0.0
ร้านพรนี,100379.0,1.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-29-111-11-05-25-56,2025-08-29,05:25:56,29/08/2025 05:25:56,111.0,,11.0,1.0,,,,,16.54875667,102.10216167,ID-1111,0.0,,,0.0
ร้านมาวินชานมไข่มุก,101970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-29-111-11-05-31-59,2025-08-29,05:31:59,29/08/2025 05:31:59,111.0,,11.0,,,,,,16.549015,102.104155,ID-1111,0.0,,,0.0
ร้านลาบป.7,100257.0,1.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-29-111-11-05-46-22,2025-08-29,05:46:23,29/08/2025 05:46:23,111.0,,11.0,,1.0,,,,16.57579333,102.108505,ID-1111,0.0,,,0.0
ร้านเขียงปลาแม่หน่อย,100258.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-29-111-11-06-04-29,2025-08-29,06:04:29,29/08/2025 06:04:29,111.0,,11.0,,,,,1.0,16.57711667,102.089215,ID-1111,0.0,,,0.0
ร้านไก่ต้มน้ำปลาแม่สมรักษ์,100261.0,2.0,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-29-111-11-06-15-56,2025-08-29,06:15:56,29/08/2025 06:15:56,111.0,,11.0,,,,2.0,,16.57843,102.08887,ID-1111,-1.0,,,-1.0
ร้านพ่อสักกับข้าวเย็น,100259.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-29-111-11-06-16-05,2025-08-29,06:16:05,29/08/2025 06:16:05,111.0,,11.0,,,,1.0,,16.57845167,102.08886833,ID-1111,0.0,,,0.0
ร้านสลัดผักผลไม้พี่แต๊ก,100260.0,3.0,105.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-29-111-11-06-16-18,2025-08-29,06:16:18,29/08/2025 06:16:18,111.0,,11.0,,,,3.0,,16.57844167,102.08886167,ID-1111,-2.0,,,-2.0
ร้านแม่ติ๋มลาบเป็ด,100262.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-29-111-11-06-19-11,2025-08-29,06:19:11,29/08/2025 06:19:11,111.0,,11.0,,,,1.0,,16.57820333,102.08905167,ID-1111,0.0,,,0.0
